"title","abstract"
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"Korot",NA
"The Central African journal of medicine",NA
"Infection and immunity","Studies were conducted in mice, hamsters, sheep, and two species of nonhuman primates which demonstrate the adjuvant activity of a new metabolizable lipid emulsion with marginally immunogenic doses of Formalin-inactivated viral vaccines. The lipid base consists of highly refined peanut oil emulsified in aqueous vaccines with glycerol and lecithin. Hamsters and mice inoculated with lipid emulsion plus western or Venezuelan equine encephalitis vaccine were significantly more resistant than vaccinated controls to lethal homologous virus challenge. Sheep given one dose of lipid emulsion plus Rift Valley fever vaccine developed significantly higher antibody titers than control sheep receiving only vaccine. Cynomolgous monkeys inoculated with lipid emulsion plus Rift Valley fever vaccine developed 16-fold greater peak primary and 20-fold greater secondary antibody titers than those of vaccine controls. Similar lipid emulsion-Rift Valley fever studies in rhesus monkeys resulted in 37- and 300-fold increases in primary and secondary titers, respectively, compared with monkeys given vaccine alone. Neither the sequence of combining antigen with lipid nor the exact ratio of aqueous phase to lipid phase affected the survival of Venezuelan equine encephalitis-vaccinated mice challenged with homologous lethal virus. This lipid formulation has several advantages over other water-in-oil adjuvants for potential use in humans. The components are metabolizable or normal host constituents, it is easily emulsified with aqueous vaccines by gentle agitation, and it is relatively nonreactogenic in recipients."
"Bulletin de l'Académie nationale de médecine",NA
"The British journal of ophthalmology","Ocular manifestations resulting from Rift Valley fever (RVF) virus infection were studied during an extensive RVF epidemic in Egypt during 1977. Colour photography and fluorescein angiography of 7 serologically diagnosed patients showed the commonest manifestations to be macular, paramacular, and/or extramacular retinal lesions, often occurring bilaterally. Haemorrhage and oedema were frequently associated with the lesions, and vasculitis, retinitis, and vascular occlusion were also observed. Patients were monitored during a 6-month convalescence, and, though resorption of the lesions occurred, approximately half the patients experienced permanent loss of visual acuity. Ocular disease was one form of the clinical spectrum of RVF; acute febrile, encephalitic, and fatal haemorrhagic RVF illnesses were also observed during the epidemic."
"Lancet",NA
"Revue d'élevage et de médecine vétérinaire des pays tropicaux",NA
"Journal of medical virology",NA
"Progress in clinical and biological research",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene","The demonstration of serological conversion to Rift Valley fever (RVF) virus in paired acute and convalescent sera established RVF as the cause of two cases of retinitis seen during the 1977 RVF epidemic in Egypt. Colour photography of the retina revealed macular, paramacular and extramacular exudate-like lesions with associated haemorrage and oedema. One patient has not recovered central vision during a six-month convalescence. An ongoing study of a larger group of RVF patients with ocular disease revealed that the findings presented for these two cases represented the types of lesions most frequently encountered during the epidemic."
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"Lancet",NA
"Journal of the South African Veterinary Association","In a study of the response in cattle to a live and an inactivated Rift Valley fever (RVF) vaccine prepared from cell cultures infected with RVF virus, the effects of varying doses and combinations of these vaccines were compared. The antibody response to a primary injection of either vaccines was poor when measured by the serum virus neutralization test (SVN) and the haemagglutination-inhibition test (HI) but a booster dose of inactivated vaccine evoked a good anamnestic response in cattle previously injected with either of these vaccines. Cattle vaccinated with the live vaccine but negative to the SVN or the HI for RVF were immune when challenged with a virulent RVF virus isolated from a cow during 1974."
"Tijdschrift voor diergeneeskunde","Rift Valley fever probably occurred in East and South Africa for many years, where it occasionally caused sever epizootics among sheep and to a less extent in cattle and goats. Particularly newborn animals fall victims to the disease, whereas the majority of pregnant ewes and cows abort. In recent years, the disease spread to the Sudan and reached the Nile delta in 1977, where it not only caused an epizootic but also an epidemic among the population, resulting in approximately 18,000 cases and nearly 600 deaths. During the summer of 1978, the disease was observed again so that the virus must have overwintered in the newly infested area. The disease in animals and subsequently in man, displaying four different clinical forms, is discussed. The limited knowledge of the pathogenesis and epidemiology is stressed particular attention being paid to the Egyptian epizootic and epidemic. Because of inadequate knowledge of the clinical features, pathogenesis and other data, the disease among cattle was not detected until from five to six months after it had broken out. The spread of Rift Valley fever to the north-eastern part of Africa forms a potential threat of dissemination of the virus to neighbouring countries, situated on the two adjacent continents of Asia and Europe, and it is a real one. International travel and movement of goods and animals as well as the political situation in that area involves the danger of the Rift Valley fever virus also being transferred to new areas and becoming established there."
"The Veterinary record","A disease causing increased mortality and abortion in domestic animals during a 1977 epizootic in Egypt was identified as Rift Valley fever (RVF) virus. The epizootic included extensive human involvement reflected clinically as either an acute febrile, ocular, encephalitic, or fatal haemorrhagic form of RVF disease. The virus was again isolated from humans and animals during a second RVF epizootic in the summer of 1978."
"British journal of experimental pathology","Laboratory mice were inoculated with 3 different strains of Rift Valley fever virus (RVFV): namely, the prototype, the Nigerian, and the Lunyo variant strains of RVFV. Animals were inoculated with either infective mouse brain or serum by the i.c. or i.p. route and organs of inoculated animals examined for virus content and histopathological changes. Animals inoculated with either the classical or the Nigerian encephalitis only, to a ditropism involving mild lesions in the brain and liver or the typically severe RVFV hepatitis. The type of lesion shown was dependent on the source of inoculum and the route of inoculation. On the other hand, animals inoculated by the i.c. route with the infective brain material of the Lunyo variant virus showed a mild encephalitis, while the use of the i.p. route or infective blood source of the Lunyo virus resulted in the development of typical RVFV hepatitis. Typical intranuclear eosinophilic inclusion bodies were found in both the brain and liver of animals inoculated with the Lunyo variant virus. These inclusion bodies were found only in the livers of mice inoculated with the infective blood material of either the prototype or the Nigerian strain. There was no correlation between the virus titres in the different organs and the severity of histopathological lesions."
"Reviews of infectious diseases","In considering the diagnosis of a patient admitted to the Johannesburg Hospital, suffering from an illness characterized by high fever and complicated by a hemorrhagic state from which he died, a list of possible causes of his illness was drawn up. This list included the arthropodborne viral infections prevalent in southern Africa, namely, chikungunya fever, Sindbis fever, West Nile fever, yellow fever, and Rift Valley fever; viral infections associated with rodents, such as Lassa fever; the viral infection associated with monkeys, Marburg virus disease; the rickettsial infections; tick-bite fever (the variety of spotted fever of tick typhus occurring in southern Africa) and Q fever; the bacterial infections, especially the coccal infections, plague septicemia, and meningococcal, staphylococcal, and streptococcal septicemia; and the blood protozoal infections malaria and trypanosomiasis. In addition, rubella, Gasser's syndrome, Henoch-Schönlein purpura, and viperine snakebite were briefly described in this review. All of these conditions may be complicated by the development of a hemorrhagic state. The circulation of large numbers of infecting organisms, by they viruses, rickettsiae, bacteria, or protozoa, may initiate the coagulation cascade, the formation of fibrin and its deposition in the finer blood vessels, and the aggregation and entanglement of platelets resulting in marked thrombocytopenia and bleeding. This bleeding tendency is greatly aggravated when the infection specifically involves the parenchymal cells of the liver; such a condition results in defective formation of coagulation factors such as prothrombin. The proper care of patients in whom a hemorrhagic state has developed requires urgent and accurate diagnosis followed by immediate and appropriate treatment that will combat the infection and alleviate the hemorrhagic state and liver disorder. If the hemorrhagic state is due to one of the dangerous infectious fevers, adequate protection of the medical, nursing, and laboratory staff concerned is also vital."
"The Veterinary record",NA
"Harefuah",NA
"Research in veterinary science","Three strains of Rift Valley fever virus, namely Nigerian (NIG), Smithburn's neurotropic (SNT), and Lunyo variant (LUN) were compared by complement fixation (CF), neutralisation (N), haemagglutination/haemagglutination-inhibition (HA/HI) and agar gel diffusion (AGD) tests. They showed reciprocal cross-reactivity in CF tests. In N tests, using immune sheep sera, there was reciprocal cross-neutralisation between the NIG and SNT strains, but not with the LUN strain, the antiserum of which neutralised both NIG and SNT antigens whereas the reverse was not the case. When hyperimmune mouse ascitic fluid was employed in N tests, there was cross-reactivity between the three strains. Both the NIG and SNT strains yielded haemagglutinins, but not the LUN strain. Furthermore, by the antibody absorption and AGD techniques, the NIG and SNT strains were found to be identical and distinct from the LUN variant strain. The techniques found most useful in distinguishing between the three strains were HA and AGD. Laboratory neuro-adaptation of the classical pantropic virus did not appear to affect its haemagglutination activity."
"Research in veterinary science","West African dwarf sheep were inoculated with three different strains of Rift Valley fever virus (RVFV). Using infective mouse serum as the source of virus classical RVFV disease characterised by sudden onset, a sharp but transient febrile response, viraemia, abortions and the development of specific RVFV antibodies in surviving animals was observed. The severity of clinical response was, however, dependent on the strain of virus used, with animals inoculated with Smithburn's neuroadapted strain showing a milder response than those inoculated with either the Nigerian or Lunyo strain. The inoculation of sheep with RVFV infective mouse brain material of the three different strains resulted in a mild febrile response with low level viraemia. Immune sera from sheep inoculated with both the Nigerian and Smithburn's neurotropic strains did not neutralise the Lunyo virus strain in a mouse intracerebral neutralisation test; the reverse, however, was not the case. The findings indicate that the West African dwarf sheep is highly susceptible to RVFV infection and that previous reports of only a mild clinical response following inoculation with the Nigerian strain were due to infective mouse brain rather than infective mouse serum."
"The Journal of general virology","Rift Valley fever virus isolates from the 1977 outbreak in Egypt were studied at an ultrastructural level. The particles measured 90 to 110 nm in diam. using negative staining and sectioning techniques, with a core component of 80 to 85 nm. The surface of the virions was calculated to be covered by approx. 160 sub-units. The particles were found in smooth endoplasmic reticular systems, which were made up of either multi-tubular complexes, or of a single large vacuole. The majority of these membrane systems were found to be unassociated with Golgi apparatus. Inclusion bodies were found within the host cell nuclei (made up of rods and fine granules) and in the cytoplasm (aggregates of fine or coarse granules). The possible relationship of these structures to virus replication is discussed."
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"Scandinavian journal of infectious diseases","Swedish United Nations Emergency Forces soldiers serving in Egypt and the Sinai peninsula were serologically tested for hemagglutination-inhibiting antibodies to Rift Valley fever (RVF) virus. Eight of 170 were positive. RVF has not been reported outside Africa, and a survey of 500 Swedish soldiers who had not served in the Middle East or Africa revealed no RVF virus antibodies. There were extensive RVF epidemics in Egypt in 1977 and 1978, and it is considered that these serologically positive soldiers contracted RVF disease while on duty in the Middle East."
"Progress in medical virology. Fortschritte der medizinischen Virusforschung. Progrès en virologie médicale",NA
"The Journal of the Egyptian Public Health Association",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene","From October to December 1977, an extensive epizootic occurred in Egypt resulting in abortions and increased mortality in domestic animals, and severe clinical disease with fatalities in man. Rift Valley Fever (RVF) virus was isolated and identified as the causative agent. In humans, acute febrile, encephalitic, ocular and fatal haemorrhagic diseases were documented as resulting from RVF virus infection. A retrospective serological survey indicated RVF was recently introduced into the area. The 1977 epizootic extensively involved five Governorates. In the summer and autumn of 1978, epizootic RVF reappeared in Egypt and spread to previously uninfected areas. Virological, serological and epidemiological studies, and factors related to the spread of RVF are discussed."
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"The Central African journal of medicine",NA
"The Central African journal of medicine",NA
"Bulletin of the World Health Organization","During the epidemic of Rift Valley fever (RVF) that occurred in Egypt and other areas of North Africa in 1977, the virus was isolated from various species of domestic animal and rats (Rattus rattus frugivorus) as well as man. The highest number of RVF virus isolates were obtained from sheep; only one isolate was recovered from each of the other species tested, viz. cow, camel, goat, horse, and rat. RVF virus was reisolated from both camel and horse sera, apparently for the first time."
"Bulletin of the World Health Organization","Rift Valley fever (RVF) virus was isolated from 53 of 56 sera collected from patients with a clinical picture of dengue-like illness during the peak of the epidemic of RVF in Egypt in the autumn of 1977. RVF virus was also isolated from the throat washings of two patients and the faeces of four, all of whom were positive for virus isolation from the serum. All the isolates were identified by the complement fixation (CF) test. Serological diagnosis of RVF, using paired sera from 16 patients, was made by both the haemagglutination-inhibition (HI) and CF tests. HI antibodies were demonstrated in all the acute sera, whereas CF antibodies, which seem to appear later, were detected in only seven acute and twelve convalescent sera. A longer period than the 12 days in this study must be allowed to elapse between the taking of the paired sera for a definite serological diagnosis to be obtained, especially when CF antibodies are taken into account."
"Proceedings, annual meeting of the United States Animal Health Association",NA
"Progress in liver diseases",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene","Epidemiological factors related to the introduction, spread and maintenance of Rift Valley fever (RVF) virus were studied during the 1977-78 epizootic in Egypt, Culex pipiens is the most ubiquitous and prevalent mosquito species in the Nile Valley and Delta. Isolation of RVF virus from unengorged C. pipiens, and demonstration of laboratory transmission of the virus by this species, strongly implicate it as the chief vector in Egypt. Virus transmission to man also occurs by contamination when handling infected meat and by inhaling natural virus aerosols. Wild rodents apparently do not serve as RVF virus reservoirs. Domestic sheep, cattle, buffaloes, camels, goats, donkeys and dogs act as amplifying hosts. Over 30% of the camels sampled at the southern border of Egypt were serologically positive for antibodies to RVF virus and it appears likely that the virus was introduced into Egypt, either by these animals or by other vehicles from the south."
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"Bulletin of the World Health Organization",NA
"Lancet",NA
"Journal of the South African Veterinary Association","The paper describes the use of 14 South African wild rodent species as experimental models and demonstrates the proven value of many of these as laboratory animals in research on bacterial infections (plague, relapsing fever), rickettsial infections (tickbite fever, louse typhus), viral infections (poliomyelitis. Rift-Valley fever and other arbovirus infections, Lassa fever), fungal infections (histoplasmosis), parasitic infections (schistosomiasis) and in diabetes mellitus and cancer research."
"Journal of the South African Veterinary Association","The advantages and disadvantages of the different diagnostic techniques e.g. pathological and microbiological studies, immunoglobulin and specific antibody determinations and fluorescent antibody studies in relation to these mortalities are discussed. The most important pathological lesions in the placentas and foetuses are described."
"Journal of the South African Veterinary Association","Studies on the host preferences of Culicoides imicola, the vector of bluetongue virus in South Africa, are reviewed. There is agreement that this species prefers to feed on cattle but will also feed on other bovidae and sheep. Over a seven year period cattle kept near sheep on a Natal farm appear to have appreciably reduced the incidence of bluetongue in the sheep. In addition to immunization this ""decoy"" approach is therefore recommended to assist in the protection of stock from insect borne diseases such as bluetongue and possibly African horsesickness and Rift Valley fever."
"The Onderstepoort journal of veterinary research","This is a report on the clinical signs of Wesselsbron disease in 37 lambs and the pathology of 4 natural and 12 experimental cases. Generally the symptoms were ill-defined. At autopsy 13 of the 14 lambs revealed a mild to severe icterus and a slight to moderate hepatomegaly with discoloration of the liver. No foci of hepatic necrosis were observed macroscopically and, except for petechial and ecchymotic haemorrhages in the mucosa of the abomasum and generalized lymphadenopathy, no other obvious macroscopic lesions were noted. Perforation of the abomasum occurred in one lamb only. Microscopy on the liver showed mild to extensive necrosis of the parenchyma. Degenerated and necrotic hepatocytes were diffusely scattered throughout the liver, but no definite well-circumscribed foci of necrosis were seen. Mitotic figures and hepatocytes with large nuclei indicated that active regeneration of parenchymal cells had occurred in some of the livers. Other changes, for example, Kupffer cell proliferation, sinusoidal leucostasis, bile duct proliferation and infiltration of mononuclear cells in the portal triads, were frequently encountered. Moderate to severe cholestasis was a feature in 66% of the livers examined, while intranuclear inclusions and intracytoplasmic acidophilic or Councilman-like bodies were frequently observed. A complete haematological study was carried out on 4 experimentally produced cases. The gross and histopathological lesions in the liver are compared with those of Rift Valley fever in the new-born lamb."
"The Journal of hygiene","Brains, spleens and livers of 2214 murids, 27 shrews and 7 dormice, trapped at 7 sites in Rhodesia, were tested in 277 pools for the presence of Rift Valley Fever virus. There were no isolations of Rift Valley Fever, but 69 isolations of an unidentified virus were obtained. Sixteen out of 867 sera had low-titre haemagglutination-inhibition activity against Rift Valley Fever antigen, but only one out of 1260 sera had neutralizing antibody. The evidence suggests that murids fail to encounter infection in nature and are unlikely to play a role in circulation and dissemination of Rift Valley Fever virus. Four out of seven widely distributed species of muried, Rhabdomys pumilio, Saccostomys campestris, Aethomys chrysophilus and Lemniscomys griselda, were shown to be capable of circulating amounts of virus likely to be infective for mosquitoes."
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"Bulletin of the Ophthalmological Society of Egypt",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"The Journal of the Egyptian Public Health Association",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene","Ten strains of Rift Valley Fever virus were isolated from serum samples from acute human cases collected during an epidemic of undifferentiated febrile illness. Post-mortem samples were obtained from two fatal infections. Severe liver necrosis, interstitial pneumonia and myocardial degeneration were seen. Rift Valley Fever virus was isolated from post-mortem samples of liver, cerebro-spinal, pericardial and pleural fluid and from a throat swab. The virus was also isolated from nasopharyngeal washings suggesting that direct transmission from man to man may be possible."
"Bulletin of the Ophthalmological Society of Egypt",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"Bulletin of the World Health Organization","This article reviews the current state of knowledge on the viral haemorrhagic fevers that infect man, namely smallpox, chikungunya fever, dengue fever, Rift Valley fever, yellow fever, Crimean haemorrhagic fever, Kyasanur Forest disease, Omsk haemorrhagic fever, Argentinian haemorrhagic fever (Junin virus), Bolivian haemorrhagic fever (Machupo virus), Lassa fever, haemorrhagic fever with renal syndrome, and Marburg and Ebola virus diseases."
"The Journal of the Egyptian Public Health Association",NA
"Journal of biological standardization",NA
"The Onderstepoort journal of veterinary research","A widespread epizootic of Rift Valley fever occurred in the Republic of South Africa and South West Africa during 1974--75. This is a report on the gross pathology of 34 new-born lambs and the histopathology of 93 new-born lambs that died during this outbreak. The liver was affected in every case and showed the most pronounced lesions. The organ was grossly enlarged in most cases, with scattered greyish-white necrotic foci 1--2 mm in diameter and haemorrhages of varying size throughout. Haemorrhages were also frequently seen in the mucosa of the abomasum. The massive diffuse necrosis of hepatocytes (pannecrosis) associated with well-demarcated foci of primary coagulative necrosis, present in 100% of the cases examined, was characteristic of the histopathology of the new-born lamb. Bile thrombi were noticed in the livers of 31% of the lambs and intranuclear inclusions in 49% of the cases. The diagnostic significance of the microscopic liver lesions is discussed. Focal necrosis and haemorrhages were frequently seen in the adrenal cortex while generalized destruction of lymphocytes in the lymph nodes and spleen occurred in many of the animals. In addition, the following hitherto undescribed or previously not well-documented lesions are recorded: (i) mineralization of single or groups of necrotic hepatocytes in 62% of the livers: (ii) pyknosis and karyorrhexis of the cellular elements in the glomeruli and a hyalinized appearance of many of these affected glomeruli; and (iii) necrosis of the tips of the villi in the small intestine in some of the animals."
"Nordisk veterinaermedicin","A survey to demonstrate the presence or absence in Malawi of Vibriosis, Brucellosis, Trichomoniasis and Rift Valley Fever was carried out during 1974-1976. 4,876 serum samples were collected from Zebu cattle from 231 dip tanks throughout the country and 145 serum samples were taken from exotic cattle at 14 estates. Sheath washings were collected from 295 bulls representing indigenous Zebus and 54 bulls representing exotic cattle from all parts of Malawi. 245 vaginal mucus samples were taken from exotic breeds and 106 from Malawi Zebus. Vibriosis was found in 34 indigenous bulls and in 6 exotic bulls, 11,5 pct. and 11.1 pct. respectively. 33 vaginal mucus samples from exotic cattle of 13.4 of the samples examined were positive, corresponding to 53.8 pct. of the herds examined. From Malawi Zebus 16 vaginal samples or 15.1 pct. of the samples examined were positive. 5 of the Malawi Zebus tested for Brucellosis using S.A.T. contained a minimum of 100 IU/ml."
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde",NA
"The Onderstepoort journal of veterinary research","During the 1974/75 lambing season numerous reports were received from various parts of the Republic of South Africa and South West Africa of severe abdominal distension in ewes after vaccination with the attenuated Rift Valley fever and/or attenuated Wesselsbron disease vaccine. The ewes were vaccinated at different stages of gestation in spite of recommendations to the contrary, the syndrome being especially obvious in ewes immunized with one or both of these vaccines during the first trimester of pregnancy. In some of the flocks hydrops amnii was recorded in as many as 15% of the ewes. Many of the ewes so affected showed a prolonged gestation of up to 6-7 months and, towards the end of gestation, were unable to rise or walk. They eventually died of ketosis, hypostatic pneumonia and complications due to dystocia. The foetuses examined were malformed and larger than normal with a mass of 3,6-6,7 kg. They usually showed arthrogryposis, brachygnathy inferior, hydranencephaly, hypoplasia or segmental aplasia of the spinal cord and neurogenic muscular atrophy. The amnion contained 8,0-18,0 1 of amniotic fluid, the endometrium was oedematous, and cystic tube-like dilatations, 1-10 mm in diameter, filled with a clear fluid, were scattered in the endometrium. No definite conclusions as to the aetiology of the syndrome could be drawn from serological tests performed on the ewes, lambs or foetuses. Preliminary experimental work confirmed previous observations that the attenuated Wesselsbron disease vaccine virus is responsible for this syndrome and that the wild-type virus is also implicated. In addition, the attenuated Rift Valley fever vaccine virus was found to the responsible for arthrogryposis and hydranencephaly without hydrops amnii and for micrencephaly and arthrogryposis associated with hydrops amnii in the ewe."
"Journal of the South African Veterinary Association","The immunising potency of an inactivated Rift Valley fever (RVF) vaccine prepared from RVF virus infected mouse brain and RVF infected cell culture was studied in cattle and sheep. Different doses and adjuvants were compared. In laboratory trials both cattle and sheep developed neutralising antibodies against virulent RVF virus and in cattle antibodies were still detectable 9 months after immunisation. Although the immunity produced was inadequate to prevent viraemia after challenge, evidence of protection against clinical RVF was obtained. Field trials in sheep showed that vaccination induced a good immunity in pregnant ewes."
"Journal of the South African Veterinary Association",NA
"The Journal of general virology","Eosinophilic intranuclear filaments described previously in Rift Valley Fever infected cells, were shown to fluoresce specifically in an indirect technique with antiserum to the virus. Actinomycin D failed to suppress development of the filaments or replication of the virus."
"The Journal of the Egyptian Public Health Association",NA
"Klinische Monatsblätter für Augenheilkunde","Three cases of Rift Valley fever retinitis and one case of Tick Bite fever retinitis are presented. The clinical features are indistinguishable, manifesting as localised areas of retinal ischaemia and soft exudate formation. Fluorescein angiography shows that there is primary involvement of the retinal circulation without involvement of the choroidal circulation. Vascular occlusion is a feature of the retinal pathology. These patients were treated with steroids and immunosuppressives as their maculae were threatened and they all regained normal to near normal vision except in one case in whom old macula scarring from previous episodes of the disease prevented visual improvement."
"Journal of the South African Veterinary Association",NA
"The Journal of hygiene","The epizootic range of Rift Valley fever in Kenya is defined from the results of virus isolations during epizootics, and form an extensive serological survey of cattle which were exposed during an epizootic. A study of the sera from a wide range of wild bovidae sampled immediately after the epizootic, showed that they did not act as reservoir or amplifying hosts for RVF. Virus isolation attempts from a variety of rodents proved negative. Rift Valley fever did not persist between epizootics by producing symptomless abortions in cattle in areas within its epizootic range. A sentinel herd sampled annually after an epizootic in 1968 revealed not one single seroconversion from 1969 to 1974. Certain forest and forest edge situations were postulated as enzootic for Rift Valley fever, and a small percentage of seroconversions were detected in cattle in these areas, born four years after the last epizootic. This has been the only evidence for the persistence of the virus in Kenya since 1968, and may be a part of the interepizootic maintenance cycle for Rift Valley fever in Kenya, which otherwise remains unknown."
"The American journal of tropical medicine and hygiene","A serological survey was made comprising 4,590 human sera collected in 16 areas of Angola, in order to determine the distribution of arboviruses. The results obtained with the hemagglutination inhibition (HI) test have shown that the activity of the arboviruses is more prevalent in northern Angola, where a larger number of sera reacted in the HI test against group A and B arboviruses (7% and 32..6%, respectively). Several sera with HI reactions against Bunyamwera, group C, and Rift Valley fever viruses were also found."
"Research in veterinary science","West African Dwarf sheep were challenged with a low mouse brain-passaged Rift Valley fever virus (Ib-AR 55172) isolated from Nigeria. Viraemia, mild febrile reaction and neutralising antibodies were demonstrated in inoculated animals."
"Voprosy virusologii",NA
"The Kitasato archives of experimental medicine",NA
"The Kitasato archives of experimental medicine",NA
"Journal of the South African Veterinary Association",NA
"Journal of the South African Veterinary Association",NA
"Laboratory animal science",NA
"Journal of the South African Veterinary Medical Association",NA
"Münchener medizinische Wochenschrift (1950)",NA
"Journal of the South African Veterinary Medical Association",NA
"Annals of tropical medicine and parasitology",NA
"The Journal of infectious diseases",NA
"The Kitasato archives of experimental medicine",NA
"Transactions of the Royal Society of Tropical Medicine and Hygiene",NA
"Japanese journal of microbiology",NA
"Applied microbiology","Filtration by means of a Diaflo ultrafilter was used to concentrate three 1,000-ml lots and one 3,000-ml lot of tissue culture-grown Rift Valley fever virus. Quantitation of both infectivity and total protein was achieved. Water treatment with continued ultrafiltration of the virus concentrate provided a final virus product approximately 99.25% free of low-molecular-weight materials originally present in the growth medium."
"Applied microbiology","A model system is described for the mass propagation of Rift Valley fever (RVF) virus, utilizing large-volume fermentor units for suspension culture of tissue cells and the subsequent production of virus. Comparisons between laboratory- and fermentor-scale operations of tissue cell growth gave equivalent results. Cell viability dropped 24 to 30 hr postinfection with a subsequent virus yield between 10(8.0) and 10(9.0) mouse intracerebral median lethal doses per milliliter. Infecting volumes of tissue cell culture (20- or 40-liter working volumes) had no apparent effect on virus yields. Tissue cells grown under either oxidation-reduction potential- and pH-controlled or uncontrolled conditions showed little or no difference in their ability to produce RVF virus. We believe this tissue cell virus process to have potential application for large-scale production of vaccines for human or veterinary use or for the mass propagation of certain carcinogenic viruses for cancer research, once use of established lines for this purpose is accepted."
"Applied microbiology","Mixtures of Venezuelan equine encephalomyelitis, Rift Valley fever, and chikungunya viruses may be assayed by selective immunofluorescence staining of infected cell monolayers. A multiple serum neutralization test is described for quantifying reactions of these viruses with mixtures of serum antibodies."
"Applied microbiology","Simple and efficient methods for concentrating Rift Valley fever (RVF) virus and chikungunya (CHIK) virus are described. Ammonium sulfate, potassium sulfate, or alcohol was used as a precipitating agent and the precipitate was resuspended to volumes suitable for further processing and purification. The methods permitted concentration of live RVF virus and CHIK virus about 100-fold with negligible losses of virus. RVF virus retained a high level of infectivity with potassium aluminum sulfate and alcohol, but CHIK virus retained a higher infectivity level with ammonium sulfate than with potassium aluminum sulfate. The data indicate that serum plays an important role in the concentration of both viruses, at least when the sulfate methods are used."
"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",NA
"Laboratory animal care",NA
"The Journal of infectious diseases",NA
"The Journal of infectious diseases",NA
"The Journal of infectious diseases",NA
"Research in veterinary science",NA
"Archiv für die gesamte Virusforschung",NA
"Annals of the New York Academy of Sciences",NA
"American journal of veterinary research",NA
"Applied microbiology","The effect of several controlled variables on the peak titer and fold increase of Rift Valley fever virus grown in suspension culture on two variants of Earle's L cell, L-DR and L-MA clone 1-1, was studied. No significant amount of cell-associated virus was found at 24 hr, indicating a release of virus soon after its formation. Mild sonic treatment of the virus produced in serum-free medium increased the infective titer about 10x. This difference was not observed with virus produced in medium supplemented with serum. Peak titer was not affected by medium used during the infection period, by multiplicity of inoculum (MOI), or by initial cell concentration within the test range of 10(4) to 2 x 10(6) cell/ml. Cell strain employed influenced titer, because the L-DR cell did not produce virus efficiently at low MOI and low initial cell concentration. The time of peak titer and fold replication was dependent on MOI and initial cell concentration. Differences in virus propagation in monolayer and suspension systems are discussed."
