Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"[Hemorrhagic forms of Rift Valley fever in Mauritania].","/pubmed/2633870","Philippe B, Jouan A, Riou O, Coulibaly I, Leguenno B, Meegan J, Mondo M, Digoutte JP.","Bull Soc Pathol Exot Filiales. 1989;82(5):611-9. French. ","Bull Soc Pathol Exot Filiales.  1989","PubMed","citation","PMID:2633870","pubmed","2633870","create date:1989/01/01 | first author:Philippe B",
"[Neurologic and neurosensory forms of Rift Valley fever in Mauritania].","/pubmed/2633869","Riou O, Philippe B, Jouan A, Coulibaly I, Mondo M, Digoutte JP.","Bull Soc Pathol Exot Filiales. 1989;82(5):605-10. French. ","Bull Soc Pathol Exot Filiales.  1989","PubMed","citation","PMID:2633869","pubmed","2633869","create date:1989/01/01 | first author:Riou O",
"[Transmission cycles of arboviruses in Madagascar].","/pubmed/2576622","Fontenille D.","Arch Inst Pasteur Madagascar. 1989;55(1):7-317. Review. French. ","Arch Inst Pasteur Madagascar.  1989","PubMed","citation","PMID:2576622","pubmed","2576622","create date:1989/01/01 | first author:Fontenille D",
"Transmission of Rift Valley fever virus by different geographic strains of Culex pipiens in Egypt.","/pubmed/2519963","Gad AM, Hassan AN, Merdan AI.","J Egypt Public Health Assoc. 1989;64(5-6):363-79.","J Egypt Public Health Assoc.  1989","PubMed","citation","PMID:2519963","pubmed","2519963","create date:1989/01/01 | first author:Gad AM",
"Complement fixing antibodies against arboviruses in horses at Lagos, Nigeria.","/pubmed/2485538","Olaleye OD, Oladosu LA, Omilabu SA, Baba SS, Fagbami AH.","Rev Elev Med Vet Pays Trop. 1989;42(3):321-5.","Rev Elev Med Vet Pays Trop.  1989","PubMed","citation","PMID:2485538","pubmed","2485538","create date:1989/01/01 | first author:Olaleye OD",
"The horizontal distribution of Aedes pupae and their subsequent adults within a flooded dambo in Kenya: implications for Rift Valley fever virus control.","/pubmed/3225577","Linthicum KJ, Bailey CL, Davies FG, Kairo A, Logan TM.","J Am Mosq Control Assoc. 1988 Dec;4(4):551-4. No abstract available. ","J Am Mosq Control Assoc.  1988","PubMed","citation","PMID:3225577","pubmed","3225577","create date:1988/12/01 | first author:Linthicum KJ",
"Reduced Rift Valley fever virus infection rates in mosquitoes associated with pledget feedings.","/pubmed/3207178","Turell MJ.","Am J Trop Med Hyg. 1988 Dec;39(6):597-602.","Am J Trop Med Hyg.  1988","PubMed","citation","PMID:3207178","pubmed","3207178","create date:1988/12/01 | first author:Turell MJ",
"Use of heat inactivated viral haemorrhagic fever antigens in serological assays.","/pubmed/3146583","Saluzzo JF, Leguenno B, Van der Groen G.","J Virol Methods. 1988 Dec;22(2-3):165-72.","J Virol Methods.  1988","PubMed","citation","PMID:3146583","pubmed","3146583","create date:1988/12/01 | first author:Saluzzo JF",
"Effects of ribamidine, a 3-carboxamidine derivative of ribavirin, on experimentally induced Phlebovirus infections.","/pubmed/2976263","Sidwell RW, Huffman JH, Barnard DL, Pifat DY.","Antiviral Res. 1988 Dec 1;10(4-5):193-207.","Antiviral Res.  1988","PubMed","citation","PMID:2976263","pubmed","2976263","create date:1988/12/01 | first author:Sidwell RW",
"Genetic variation among geographic isolates of Rift Valley fever virus.","/pubmed/2462795","Battles JK, Dalrymple JM.","Am J Trop Med Hyg. 1988 Dec;39(6):617-31.","Am J Trop Med Hyg.  1988","PubMed","citation","PMID:2462795","pubmed","2462795","create date:1988/12/01 | first author:Battles JK",
"Molecular and biochemical studies of the evolution, infection and transmission of insect bunyaviruses.","/pubmed/2907153","Bishop DH, Beaty BJ.","Philos Trans R Soc Lond B Biol Sci. 1988 Oct 31;321(1207):463-83. Review.","Philos Trans R Soc Lond B Biol Sci.  1988","PubMed","citation","PMID:2907153","pubmed","2907153","create date:1988/10/31 | first author:Bishop DH",
"Viral determinants of virulence for Rift Valley fever (RVF) in rats.","/pubmed/3266284","Anderson GW Jr, Peters CJ.","Microb Pathog. 1988 Oct;5(4):241-50.","Microb Pathog.  1988","PubMed","citation","PMID:3266284","pubmed","3266284","create date:1988/10/01 | first author:Anderson GW Jr",
"[Prevalence of antibodies against Rift Valley fever virus in sheep and goats in Senegal].","/pubmed/3214599","Guillaud M, Le Guenno B, Wilson ML, Desoutter D, Gonzalez JP, Digoutte JP.","Ann Inst Pasteur Virol. 1988 Oct-Dec;139(4):455-9. French. ","Ann Inst Pasteur Virol.  1988","PubMed","citation","PMID:3214599","pubmed","3214599","create date:1988/10/01 | first author:Guillaud M",
"Solid-phase immunosorbent technique for rapid detection of Rift Valley fever virus immunoglobulin M by hemagglutination inhibition.","/pubmed/3053781","Soliman AK, Botros BA, Morrill JC.","J Clin Microbiol. 1988 Sep;26(9):1913-5.","J Clin Microbiol.  1988","PubMed","citation","PMID:3053781 | PMCID:PMC266750","pubmed","3053781","create date:1988/09/01 | first author:Soliman AK",
"Rift Valley fever virus M segment: cellular localization of M segment-encoded proteins.","/pubmed/3046119","Wasmoen TL, Kakach LT, Collett MS.","Virology. 1988 Sep;166(1):275-80.","Virology.  1988","PubMed","citation","PMID:3046119","pubmed","3046119","create date:1988/09/01 | first author:Wasmoen TL",
"The distribution of Rift Valley fever virus in the mosquito Culex pipiens as revealed by viral titration of dissected organs and tissues.","/pubmed/3407841","Faran ME, Romoser WS, Routier RG, Bailey CL.","Am J Trop Med Hyg. 1988 Aug;39(2):206-13.","Am J Trop Med Hyg.  1988","PubMed","citation","PMID:3407841","pubmed","3407841","create date:1988/08/01 | first author:Faran ME",
"Rift Valley fever in Egypt 1986. Surveillance of sheep flocks grazing in the northeast Nile Delta.","/pubmed/3404565","Botros BA, Ksiazek TG, Morrill JC, Salib AW, Soliman AK, Scott RM, Barakat A.","J Trop Med Hyg. 1988 Aug;91(4):183-8.","J Trop Med Hyg.  1988","PubMed","citation","PMID:3404565","pubmed","3404565","create date:1988/08/01 | first author:Botros BA",
"Vector competence of Senegalese Aedes fowleri (Diptera: Culicidae) for Rift Valley fever virus.","/pubmed/3404545","Turell MJ, Faran ME, Cornet M, Bailey CL.","J Med Entomol. 1988 Jul;25(4):262-6. No abstract available. ","J Med Entomol.  1988","PubMed","citation","PMID:3404545","pubmed","3404545","create date:1988/07/01 | first author:Turell MJ",
"An RVF epidemic in southern Mauritania.","/pubmed/3207509","Jouan A, Le Guenno B, Digoutte JP, Philippe B, Riou O, Adam F.","Ann Inst Pasteur Virol. 1988 Jul-Sep;139(3):307-8. No abstract available. ","Ann Inst Pasteur Virol.  1988","PubMed","citation","PMID:3207509","pubmed","3207509","create date:1988/07/01 | first author:Jouan A",
"Panveld oviposition sites of floodwater Aedes mosquitoes and attempts to detect transovarial transmission of Rift Valley fever virus in South Africa.","/pubmed/2980179","Gargan TP 2nd, Jupp PG, Novak RJ.","Med Vet Entomol. 1988 Jul;2(3):231-6.","Med Vet Entomol.  1988","PubMed","citation","PMID:2980179","pubmed","2980179","create date:1988/07/01 | first author:Gargan TP 2nd",
"Rift Valley fever rears its head.","/pubmed/3375824","Walsh J.","Science. 1988 Jun 10;240(4858):1397-9. No abstract available. ","Science.  1988","PubMed","citation","PMID:3375824","pubmed","3375824","create date:1988/06/10 | first author:Walsh J",
"Rift Valley fever virus M segment: cell-free transcription and translation of virus-complementary RNA.","/pubmed/3285574","Suzich JA, Collett MS.","Virology. 1988 Jun;164(2):478-86.","Virology.  1988","PubMed","citation","PMID:3285574","pubmed","3285574","create date:1988/06/01 | first author:Suzich JA",
"Liposomes as drug delivery system in the treatment of infectious diseases. Potential applications and clinical experience.","/pubmed/3042625","Coune A.","Infection. 1988 May-Jun;16(3):141-7. Review.","Infection.  1988","PubMed","citation","PMID:3042625","pubmed","3042625","create date:1988/05/01 | first author:Coune A",
"Prevalence of Rift Valley Fever in Lusaka and Mazabuka, Zambia.","/pubmed/3420987","Morita C.","Zentralbl Veterinarmed B. 1988 Apr;35(3):157-60. No abstract available. ","Zentralbl Veterinarmed B.  1988","PubMed","citation","PMID:3420987","pubmed","3420987","create date:1988/04/01 | first author:Morita C",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Characterization of attenuated strains of Rift Valley fever virus.","/pubmed/3356978","Rossi CA, Turell MJ.","J Gen Virol. 1988 Apr;69 ( Pt 4):817-23.","J Gen Virol.  1988","PubMed","citation","PMID:3356978","pubmed","3356978","create date:1988/04/01 | first author:Rossi CA",
"Rift Valley fever virus M segment: use of recombinant vaccinia viruses to study Phlebovirus gene expression.","/pubmed/3339714","Kakach LT, Wasmoen TL, Collett MS.","J Virol. 1988 Mar;62(3):826-33.","J Virol.  1988","PubMed","citation","PMID:3339714 | PMCID:PMC253638","pubmed","3339714","create date:1988/03/01 | first author:Kakach LT",
"Vector competence of a Houston, Texas strain of Aedes albopictus for Rift Valley fever virus.","/pubmed/3193106","Turell MJ, Bailey CL, Beaman JR.","J Am Mosq Control Assoc. 1988 Mar;4(1):94-6. No abstract available. ","J Am Mosq Control Assoc.  1988","PubMed","citation","PMID:3193106","pubmed","3193106","create date:1988/03/01 | first author:Turell MJ",
"In vitro and in vivo Phlebovirus inhibition by ribavirin.","/pubmed/3129991","Sidwell RW, Huffman JH, Barnett BB, Pifat DY.","Antimicrob Agents Chemother. 1988 Mar;32(3):331-6.","Antimicrob Agents Chemother.  1988","PubMed","citation","PMID:3129991 | PMCID:PMC172170","pubmed","3129991","create date:1988/03/01 | first author:Sidwell RW",
"Viral hemorrhagic fever antibodies in Nigerian populations.","/pubmed/3128130","Tomori O, Fabiyi A, Sorungbe A, Smith A, McCormick JB.","Am J Trop Med Hyg. 1988 Mar;38(2):407-10.","Am J Trop Med Hyg.  1988","PubMed","citation","PMID:3128130","pubmed","3128130","create date:1988/03/01 | first author:Tomori O",
"Vector competence tests with Rift Valley fever virus and five South African species of mosquito.","/pubmed/2903903","Jupp PG, Cornel AJ.","J Am Mosq Control Assoc. 1988 Mar;4(1):4-8.","J Am Mosq Control Assoc.  1988","PubMed","citation","PMID:2903903","pubmed","2903903","create date:1988/03/01 | first author:Jupp PG",
"Vector potential of selected North American mosquito species for Rift Valley fever virus.","/pubmed/2895591","Gargan TP 2nd, Clark GG, Dohm DJ, Turell MJ, Bailey CL.","Am J Trop Med Hyg. 1988 Mar;38(2):440-6.","Am J Trop Med Hyg.  1988","PubMed","citation","PMID:2895591","pubmed","2895591","create date:1988/03/01 | first author:Gargan TP 2nd",
"Morphology and development of Rift Valley fever virus in Vero cell cultures.","/pubmed/3280732","Ellis DS, Shirodaria PV, Fleming E, Simpson DI.","J Med Virol. 1988 Feb;24(2):161-74.","J Med Virol.  1988","PubMed","citation","PMID:3280732","pubmed","3280732","create date:1988/02/01 | first author:Ellis DS",
"Experimental Rift Valley fever in rhesus macaques.","/pubmed/3355374","Peters CJ, Jones D, Trotter R, Donaldson J, White J, Stephen E, Slone TW Jr.","Arch Virol. 1988;99(1-2):31-44.","Arch Virol.  1988","PubMed","citation","PMID:3355374","pubmed","3355374","create date:1988/01/01 | first author:Peters CJ",
"Mucosal priming alters pathogenesis of Rift Valley fever.","/pubmed/3254072","Anderson AO, Snyder LF, Pitt ML, Wood OL.","Adv Exp Med Biol. 1988;237:717-23. No abstract available. ","Adv Exp Med Biol.  1988","PubMed","citation","PMID:3254072","pubmed","3254072","create date:1988/01/01 | first author:Anderson AO",
"[Hemorrhagic fever viruses in Madagascar].","/pubmed/3242423","Fontenille D, Mathiot C, Coulanges P.","Arch Inst Pasteur Madagascar. 1988;54(1):117-24. French. ","Arch Inst Pasteur Madagascar.  1988","PubMed","citation","PMID:3242423","pubmed","3242423","create date:1988/01/01 | first author:Fontenille D",
"[Arbovirus infections on the island of Nosy-Be; serologic and entomologic findings].","/pubmed/3242421","Fontenille D, Mathiot C, Rodhain F, Coulanges P.","Arch Inst Pasteur Madagascar. 1988;54(1):101-15. French. ","Arch Inst Pasteur Madagascar.  1988","PubMed","citation","PMID:3242421","pubmed","3242421","create date:1988/01/01 | first author:Fontenille D",
"[Current problems of arboviruses in central Africa].","/pubmed/3180324","Mathiot CC, Gonzalez JP, Georges AJ.","Bull Soc Pathol Exot Filiales. 1988;81(3):396-401. French. ","Bull Soc Pathol Exot Filiales.  1988","PubMed","citation","PMID:3180324","pubmed","3180324","create date:1988/01/01 | first author:Mathiot CC",
"[Serological study of the virus responsible for hemorrhagic fever in an urban population of Cameroon].","/pubmed/3064937","Paix MA, Poveda JD, Malvy D, Bailly C, Merlin M, Fleury HJ.","Bull Soc Pathol Exot Filiales. 1988;81(4):679-82. French. ","Bull Soc Pathol Exot Filiales.  1988","PubMed","citation","PMID:3064937","pubmed","3064937","create date:1988/01/01 | first author:Paix MA",
"The gerbil, Meriones unguiculatus, a model for Rift Valley fever viral encephalitis.","/pubmed/3060046","Anderson GW Jr, Slone TW Jr, Peters CJ.","Arch Virol. 1988;102(3-4):187-96.","Arch Virol.  1988","PubMed","citation","PMID:3060046","pubmed","3060046","create date:1988/01/01 | first author:Anderson GW Jr",
"[Rift Valley Fever and phleboviroses in the Central African Republic].","/pubmed/3042177","Meunier DM, Madelon MC, Lesbordes JL, Georges AJ.","Bull Soc Pathol Exot Filiales. 1988;81(1):49-57. French. ","Bull Soc Pathol Exot Filiales.  1988","PubMed","citation","PMID:3042177","pubmed","3042177","create date:1988/01/01 | first author:Meunier DM",
"[Arboviroses in the region of Nosy-Bé, Madagascar. Serologic and entomologic data].","/pubmed/2900082","Fontenille D, Mathiot C, Rodhain F, Coulanges P.","Bull Soc Pathol Exot Filiales. 1988;81(1):58-70. French. ","Bull Soc Pathol Exot Filiales.  1988","PubMed","citation","PMID:2900082","pubmed","2900082","create date:1988/01/01 | first author:Fontenille D",
"[Sero-epidemiological study in Mauritania (1985-1986): incidence of treponematosis, hepatitis B virus, HIV virus and viral hemorrhagic fevers].","/pubmed/2900081","Lepers JP, Billon C, Pesce JL, Rollin PE, De Saint-Martin J.","Bull Soc Pathol Exot Filiales. 1988;81(1):24-31. French. ","Bull Soc Pathol Exot Filiales.  1988","PubMed","citation","PMID:2900081","pubmed","2900081","create date:1988/01/01 | first author:Lepers JP",
"A study of viral and rickettsial exposure and causes of fever in Juba, southern Sudan.","/pubmed/2855284","Woodruff PW, Morrill JC, Burans JP, Hyams KC, Woody JN.","Trans R Soc Trop Med Hyg. 1988;82(5):761-6.","Trans R Soc Trop Med Hyg.  1988","PubMed","citation","PMID:2855284","pubmed","2855284","create date:1988/01/01 | first author:Woodruff PW",
"Immunoelectron microscopy of Rift Valley fever viral morphogenesis in primary rat hepatocytes.","/pubmed/3499704","Anderson GW Jr, Smith JF.","Virology. 1987 Nov;161(1):91-100.","Virology.  1987","PubMed","citation","PMID:3499704","pubmed","3499704","create date:1987/11/01 | first author:Anderson GW Jr",
"Differentiation of a human monocytic cell line associated with increased production of Rift Valley fever virus by infected cells.","/pubmed/3323414","Lewis RM, Cosgriff TM, Peters CJ, Morrill JC.","J Med Virol. 1987 Nov;23(3):207-15.","J Med Virol.  1987","PubMed","citation","PMID:3323414","pubmed","3323414","create date:1987/11/01 | first author:Lewis RM",
"Rift Valley fever: a sero-epidemiological survey among pregnant women in Mozambique.","/pubmed/3678406","Niklasson B, Liljestrand J, Bergström S, Peters CJ.","Epidemiol Infect. 1987 Oct;99(2):517-22.","Epidemiol Infect.  1987","PubMed","citation","PMID:3678406 | PMCID:PMC2249273","pubmed","3678406","create date:1987/10/01 | first author:Niklasson B",
"Virus watching.","/pubmed/3153594","Curtin ME.","Microbiol Sci. 1987 Oct;4(10):311. No abstract available. ","Microbiol Sci.  1987","PubMed","citation","PMID:3153594","pubmed","3153594","create date:1987/10/01 | first author:Curtin ME",
"Reduced survival of adult Culex pipiens infected with Rift Valley fever virus.","/pubmed/3661832","Faran ME, Turell MJ, Romoser WS, Routier RG, Gibbs PH, Cannon TL, Bailey CL.","Am J Trop Med Hyg. 1987 Sep;37(2):403-9.","Am J Trop Med Hyg.  1987","PubMed","citation","PMID:3661832","pubmed","3661832","create date:1987/09/01 | first author:Faran ME",
"Complete nucleotide sequence of the M RNA segment of Uukuniemi virus encoding the membrane glycoproteins G1 and G2.","/pubmed/3629974","Rönnholm R, Pettersson RF.","Virology. 1987 Sep;160(1):191-202.","Virology.  1987","PubMed","citation","PMID:3629974","pubmed","3629974","create date:1987/09/01 | first author:Rönnholm R",
"Ranking of prophylactic efficacy of poly(ICLC) against Rift Valley fever virus infection in mice by incremental relative risk of death.","/pubmed/3631943","Kende M, Lupton HW, Rill WL, Gibbs P, Levy HB, Canonico PG.","Antimicrob Agents Chemother. 1987 Aug;31(8):1194-8.","Antimicrob Agents Chemother.  1987","PubMed","citation","PMID:3631943 | PMCID:PMC174902","pubmed","3631943","create date:1987/08/01 | first author:Kende M",
"Epizootic of Rift Valley fever in Zambia, 1985.","/pubmed/2889285","Hussein NA, Chizyuka RZ, Ksiazek TG, Scott RM, Boulos BA.","Vet Rec. 1987 Aug 1;121(5):111. No abstract available. ","Vet Rec.  1987","PubMed","citation","PMID:2889285","pubmed","2889285","create date:1987/08/01 | first author:Hussein NA",
"Enhanced therapeutic efficacy of poly(ICLC) and ribavirin combinations against Rift Valley fever virus infection in mice.","/pubmed/3662477","Kende M, Lupton HW, Rill WL, Levy HB, Canonico PG.","Antimicrob Agents Chemother. 1987 Jul;31(7):986-90.","Antimicrob Agents Chemother.  1987","PubMed","citation","PMID:3662477 | PMCID:PMC174857","pubmed","3662477","create date:1987/07/01 | first author:Kende M",
"Enzyme-linked immunosorbent assay for detection of antibodies to Rift Valley fever virus in ovine and bovine sera.","/pubmed/3631700","Meegan JM, Yedloutschnig RJ, Peleg BA, Shy J, Peters CJ, Walker JS, Shope RE.","Am J Vet Res. 1987 Jul;48(7):1138-41.","Am J Vet Res.  1987","PubMed","citation","PMID:3631700","pubmed","3631700","create date:1987/07/01 | first author:Meegan JM",
"Pathogenicity and immunogenicity of a mutagen-attenuated Rift Valley fever virus immunogen in pregnant ewes.","/pubmed/3631685","Morrill JC, Jennings GB, Caplen H, Turell MJ, Johnson AJ, Peters CJ.","Am J Vet Res. 1987 Jul;48(7):1042-7.","Am J Vet Res.  1987","PubMed","citation","PMID:3631685","pubmed","3631685","create date:1987/07/01 | first author:Morrill JC",
"Newly recognized route of arbovirus dissemination from the mosquito (Diptera: Culicidae) midgut.","/pubmed/3305948","Romoser WS, Faran ME, Bailey CL.","J Med Entomol. 1987 Jul;24(4):431-2. No abstract available. ","J Med Entomol.  1987","PubMed","citation","PMID:3305948","pubmed","3305948","create date:1987/07/01 | first author:Romoser WS",
"Pathogenesis of Rift Valley fever virus (RVFV) in inbred rats.","/pubmed/3509859","Anderson GW Jr, Slone TW Jr, Peters CJ.","Microb Pathog. 1987 Apr;2(4):283-93.","Microb Pathog.  1987","PubMed","citation","PMID:3509859","pubmed","3509859","create date:1987/04/01 | first author:Anderson GW Jr",
"Detection of Rift Valley fever viral activity in Kenya by satellite remote sensing imagery.","/pubmed/3823909","Linthicum KJ, Bailey CL, Davies FG, Tucker CJ.","Science. 1987 Mar 27;235(4796):1656-9.","Science.  1987","PubMed","citation","PMID:3823909","pubmed","3823909","create date:1987/03/27 | first author:Linthicum KJ",
"Focus of Rift Valley fever virus transmission in southern Mauritania.","/pubmed/2881057","Saluzzo JF, Digoutte JP, Chartier C, Martinez D, Bada R.","Lancet. 1987 Feb 28;1(8531):504. No abstract available. ","Lancet.  1987","PubMed","citation","PMID:2881057","pubmed","2881057","create date:1987/02/28 | first author:Saluzzo JF",
"[Isolation of Rift Valley fever virus from bats in the Republic of Guinea].","/pubmed/3607999","Boiro I, Konstaninov OK, Numerov AD.","Bull Soc Pathol Exot Filiales. 1987;80(1):62-7. French. ","Bull Soc Pathol Exot Filiales.  1987","PubMed","citation","PMID:3607999","pubmed","3607999","create date:1987/01/01 | first author:Boiro I",
"[Current serologic data on viral hemorrhagic fevers in the Central African Republic].","/pubmed/3607998","Meunier DM, Johnson ED, Gonzalez JP, Georges-Courbot MC, Madelon MC, Georges AJ.","Bull Soc Pathol Exot Filiales. 1987;80(1):51-61. French. ","Bull Soc Pathol Exot Filiales.  1987","PubMed","citation","PMID:3607998","pubmed","3607998","create date:1987/01/01 | first author:Meunier DM",
"[Rift Valley fever in Western Africa].","/pubmed/3453507","Saluzzo JF, Chartier C, Bada R, Martinez D, Digoutte JP.","Rev Elev Med Vet Pays Trop. 1987;40(3):215-23. French.  No abstract available. ","Rev Elev Med Vet Pays Trop.  1987","PubMed","citation","PMID:3453507","pubmed","3453507","create date:1987/01/01 | first author:Saluzzo JF",
"Viral haemorrhagic fever survey in Chobe (Botswana).","/pubmed/3445357","Tessier SF, Rollin PE, Sureau P.","Trans R Soc Trop Med Hyg. 1987;81(4):699-700. No abstract available. ","Trans R Soc Trop Med Hyg.  1987","PubMed","citation","PMID:3445357","pubmed","3445357","create date:1987/01/01 | first author:Tessier SF",
"Studies on anti-viral mucosal immunity with the lipoidal amine adjuvant avridine.","/pubmed/3425462","Anderson AO, Wood OL, King AD, Stephenson EH.","Adv Exp Med Biol. 1987;216B:1781-90. No abstract available. ","Adv Exp Med Biol.  1987","PubMed","citation","PMID:3425462","pubmed","3425462","create date:1987/01/01 | first author:Anderson AO",
"Rift Valley fever virus transmission by different Egyptian mosquito species.","/pubmed/2895516","Gad AM, Hassan MM, el Said S, Moussa MI, Wood OL.","Trans R Soc Trop Med Hyg. 1987;81(4):694-8.","Trans R Soc Trop Med Hyg.  1987","PubMed","citation","PMID:2895516","pubmed","2895516","create date:1987/01/01 | first author:Gad AM",
"Anthropophilic mosquitoes at Richards Bay, Natal, and arbovirus antibodies in human residents.","/pubmed/2887050","Sharp BL, Appleton CC, Thompson DL, Meenehan G.","Trans R Soc Trop Med Hyg. 1987;81(2):197-201.","Trans R Soc Trop Med Hyg.  1987","PubMed","citation","PMID:2887050","pubmed","2887050","create date:1987/01/01 | first author:Sharp BL",
"Transmission studies in mosquitoes (Diptera: Culicidae) with disseminated Rift Valley fever virus infections.","/pubmed/2880998","Turell MJ, Bailey CL.","J Med Entomol. 1987 Jan;24(1):11-8. No abstract available. ","J Med Entomol.  1987","PubMed","citation","PMID:2880998","pubmed","2880998","create date:1987/01/01 | first author:Turell MJ",
"The history of virology in South Africa.","/pubmed/3535124","Gear JH.","S Afr Med J. 1986 Oct 11;Suppl:7-10. No abstract available. ","S Afr Med J.  1986","PubMed","citation","PMID:3535124","pubmed","3535124","create date:1986/10/11 | first author:Gear JH",
"Mosquito-borne virus diseases of man in southern Africa.","/pubmed/3022406","McIntosh BM.","S Afr Med J. 1986 Oct 11;Suppl:69-72. Review. No abstract available. ","S Afr Med J.  1986","PubMed","citation","PMID:3022406","pubmed","3022406","create date:1986/10/11 | first author:McIntosh BM",
"A possible route for the introduction of Rift Valley fever virus into Egypt during 1977.","/pubmed/3795324","Gad AM, Feinsod FM, Allam IH, Eisa M, Hassan AN, Soliman BA, el Said S, Saah AJ.","J Trop Med Hyg. 1986 Oct;89(5):233-6.","J Trop Med Hyg.  1986","PubMed","citation","PMID:3795324","pubmed","3795324","create date:1986/10/01 | first author:Gad AM",
"Comparative pathogenicity and antigenic cross-reactivity of Rift Valley fever and other African phleboviruses in sheep.","/pubmed/3537119","Swanepoel R, Struthers JK, Erasmus MJ, Shepherd SP, McGillivray GM, Shepherd AJ, Hummitzsch DE, Erasmus BJ, Barnard BJ.","J Hyg (Lond). 1986 Oct;97(2):331-46.","J Hyg (Lond).  1986","PubMed","citation","PMID:3537119 | PMCID:PMC2083542","pubmed","3537119","create date:1986/10/01 | first author:Swanepoel R",
"Comparison of techniques for demonstrating antibodies to Rift Valley fever virus.","/pubmed/3537118","Swanepoel R, Struthers JK, Erasmus MJ, Shepherd SP, McGillivray GM, Erasmus BJ, Barnard BJ.","J Hyg (Lond). 1986 Oct;97(2):317-29.","J Hyg (Lond).  1986","PubMed","citation","PMID:3537118 | PMCID:PMC2083537","pubmed","3537118","create date:1986/10/01 | first author:Swanepoel R",
"Serological tests for detecting Rift Valley fever viral antibodies in sheep from the Nile Delta.","/pubmed/3533977","Scott RM, Feinsod FM, Allam IH, Ksiazek TG, Peters CJ, Botros BA, Darwish MA.","J Clin Microbiol. 1986 Oct;24(4):612-4.","J Clin Microbiol.  1986","PubMed","citation","PMID:3533977 | PMCID:PMC268981","pubmed","3533977","create date:1986/10/01 | first author:Scott RM",
"Rift Valley fever caused the fifth plague of Egypt and that of 1977.","/pubmed/3528538","Shimshony A.","JAMA. 1986 Sep 19;256(11):1444. No abstract available. ","JAMA.  1986","PubMed","citation","PMID:3528538","pubmed","3528538","create date:1986/09/19 | first author:Shimshony A",
"Rift Valley fever surveillance in mobile sheep flocks in the Nile Delta.","/pubmed/3766852","Allam IH, Feinsod FM, Scott RM, Peters CJ, Saah AJ, Ghaffar SA, el Said S, Darwish MA.","Am J Trop Med Hyg. 1986 Sep;35(5):1055-60.","Am J Trop Med Hyg.  1986","PubMed","citation","PMID:3766852","pubmed","3766852","create date:1986/09/01 | first author:Allam IH",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Use of the avidin-biotin-peroxidase complex immunocytochemical procedure for detection of Rift Valley fever virus in paraffin sections of mosquitoes.","/pubmed/3532843","Faran ME, Romoser WS, Routier RG, Bailey CL.","Am J Trop Med Hyg. 1986 Sep;35(5):1061-7.","Am J Trop Med Hyg.  1986","PubMed","citation","PMID:3532843","pubmed","3532843","create date:1986/09/01 | first author:Faran ME",
"Evaluation of a new Rift Valley fever vaccine: safety and immunogenicity trials.","/pubmed/3532605","Meadors GF 3rd, Gibbs PH, Peters CJ.","Vaccine. 1986 Sep;4(3):179-84.","Vaccine.  1986","PubMed","citation","PMID:3532605","pubmed","3532605","create date:1986/09/01 | first author:Meadors GF 3rd",
"Hemorrhagic fever virus infections in an isolated rainforest area of central Liberia. Limitations of the indirect immunofluorescence slide test for antibody screening in Africa.","/pubmed/3092415","Van der Waals FW, Pomeroy KL, Goudsmit J, Asher DM, Gajdusek DC.","Trop Geogr Med. 1986 Sep;38(3):209-14.","Trop Geogr Med.  1986","PubMed","citation","PMID:3092415","pubmed","3092415","create date:1986/09/01 | first author:Van der Waals FW",
"Prophylaxis of Rift Valley fever with antiviral drugs, immune serum, an interferon inducer, and a macrophage activator.","/pubmed/2429616","Peters CJ, Reynolds JA, Slone TW, Jones DE, Stephen EL.","Antiviral Res. 1986 Aug;6(5):285-97.","Antiviral Res.  1986","PubMed","citation","PMID:2429616","pubmed","2429616","create date:1986/08/01 | first author:Peters CJ",
"Reduced recovery of Rift Valley fever virus associated with assay of mosquito (Diptera: Culicidae) larval pools.","/pubmed/3735349","Turell MJ, Rossi CA, Tammariello RF Jr, Bailey CL.","J Med Entomol. 1986 Jul 28;23(4):416-22. No abstract available. ","J Med Entomol.  1986","PubMed","citation","PMID:3735349","pubmed","3735349","create date:1986/07/28 | first author:Turell MJ",
"Messenger RNA of the M segment RNA of Rift Valley fever virus.","/pubmed/3962188","Collett MS.","Virology. 1986 May;151(1):151-6.","Virology.  1986","PubMed","citation","PMID:3962188","pubmed","3962188","create date:1986/05/01 | first author:Collett MS",
"Experimental infection and protection of lambs with a minute plaque variant of Rift Valley fever virus.","/pubmed/3706629","Moussa MI, Abdel-Wahab KS, Wood OL.","Am J Trop Med Hyg. 1986 May;35(3):660-2.","Am J Trop Med Hyg.  1986","PubMed","citation","PMID:3706629","pubmed","3706629","create date:1986/05/01 | first author:Moussa MI",
